id,Probability,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
33,0.006825969,0.007520592,68,0,269,NA,4,0,0,0,0
34,0.012770951,0.003722015,58,0,0.63332301,3228,5,0,1,0,0
35,0.010923282,0,61,0,0.2226598,3300,14,0,1,0,0
36,0.070655582,0.175727593,43,1,994,NA,4,0,1,0,0
37,0.01950275,0,48,0,0.517468688,4550,7,0,2,0,0
38,0.013421385,0.163037489,81,0,0.086482558,2751,7,0,0,0,1
39,0.011830906,0.047311582,51,0,0.100920343,3150,5,0,0,0,0
40,0.020086334,0.089478348,56,0,1.065901518,2700,11,0,1,0,2
41,0.009318039,0.093962275,55,0,0.112051635,9450,6,0,2,0,0
42,0.01728034,0.21955042,54,0,0.315983758,5417,20,0,2,0,1
43,0.025793668,0.576518559,72,0,3031,NA,11,0,1,0,0
44,0.079997651,0.130902106,48,1,0.427882174,3937,17,0,1,0,0
45,0.269065267,0,48,2,0.370876375,3000,14,0,1,0,5
46,0.0854852,0.175932019,57,1,0.655812625,3500,9,0,1,0,1
47,0.01740888,0.050789842,30,0,0.315171207,4000,4,0,1,0,1
48,0.022796192,0,28,0,0.144616356,3166,7,0,0,0,0
49,0.028840333,0.21286031,36,0,0.563752087,9583,10,0,2,0,1
50,0.095116854,0,50,1,0.726566993,3477,5,0,1,0,1
51,0.045295631,0.36459777,42,0,0.593899089,6916,7,0,3,0,0
52,0.009454539,0.13527952,58,0,0.342005076,9455,11,0,2,0,2
53,0.045645413,0.405183973,46,0,0.667835346,7700,22,0,2,0,1
54,0.254598461,0.184986787,55,4,3144,NA,11,0,1,0,0
55,0.015941734,0.085338293,51,0,0.477503628,6200,11,0,1,0,0
56,0.17715894,0,25,0,0.152896812,2916,3,0,0,1,0
57,0.058065516,0.714980139,55,0,0.47090194,15000,12,0,2,0,3
58,0.012782509,0.025892469,38,0,74.5,1,13,0,0,0,2
59,0.021213203,0.114869499,35,0,103,NA,6,0,0,0,0
60,0.008139359,0.035489848,69,0,0.308438695,3400,9,0,1,0,0
61,0.007554255,0.045423864,64,0,0.181311286,5200,4,0,1,0,0
62,0.007471723,0.030173038,64,0,0.17386957,9000,8,0,1,0,0
63,0.015113327,0.021978375,40,0,0.443755624,10000,12,0,5,0,2
64,0.060248978,0.046640328,92,1,0.034326669,2650,13,0,0,0,0
65,0.020025442,0.292365949,50,0,0.420180551,8750,8,0,2,0,0
66,0.028145941,0.655316473,63,0,5223,NA,19,0,2,0,0
67,0.406862309,0.9999999,50,2,1208,NA,4,0,1,0,0
68,0.029661752,0.593985244,63,0,0.332698534,5250,4,0,2,0,0
69,0.013471267,0.080288098,37,0,0.322446259,6000,7,0,1,0,0
70,0.125504282,1.953488372,38,0,0.153500141,3556,5,0,0,0,2
71,0.011373029,0.125429152,55,0,0.476704659,5000,3,0,2,0,0
72,0.017632722,0.295928252,47,0,0.283765445,14000,6,0,2,0,1
73,0.007218418,0.002856735,73,0,2.86E-04,10500,10,0,0,0,0
74,0.048883933,0.877564897,58,0,2825,NA,10,0,2,0,0
75,0.010747492,0.09811305,49,0,0.257017809,6625,9,0,2,0,0
76,0.011003955,0.112321289,53,0,0.266909775,8500,9,0,1,0,5
77,0.109939541,0.634327056,49,1,0.123125125,15000,7,0,0,0,1
78,0.008813244,0,63,0,0.007988922,9387,9,0,0,0,0
79,0.006335666,0.034645112,65,0,0.125189985,12500,4,0,1,0,1
80,0.008406203,0.010402205,68,0,0.094140517,3600,6,0,1,0,0
81,0.099876581,0.220823719,46,1,0.637749121,1705,5,0,0,0,0
82,0.019267752,0.006099797,28,0,0.139429485,3750,8,0,0,0,0
83,0.258921506,0.909538698,53,1,0.595653913,7500,16,0,1,0,1
84,0.031467938,0.9999999,62,0,0,5480,3,0,0,0,0
85,0.009461278,0.144878408,66,0,0.28446242,8900,9,0,1,0,0
86,0.041023524,0.679813777,83,0,0.689589756,4216,6,0,2,0,0
87,0.028759796,0.9999999,66,0,0.046633911,11600,2,0,0,0,1
88,0.161111733,0.465238835,66,0,0.391427671,3172,8,1,1,0,0
89,0.050700761,0.696411671,52,0,0.408871921,11000,11,0,1,0,4
90,0.014643305,0.063329564,37,0,0.329935275,6179,6,0,1,0,3
91,0.010810638,0.093638481,49,0,0.042836573,8333,10,0,0,0,1
92,0.01512917,0.0164781,92,0,10,NA,3,0,0,0,0
93,0.009884856,0.042606843,58,0,3976,NA,13,0,3,0,0
94,0.012385051,0.022890604,37,0,0.288477299,6100,16,0,1,0,0
95,0.079712125,0.067259209,29,1,0.168340507,2090,3,0,0,0,0
96,0.021435074,0,29,0,0.193935355,3000,7,0,0,0,0
97,0.007500648,0.053589282,87,0,0.001534331,5213,4,0,0,0,0
98,0.015946833,0,61,0,1.394967177,913,11,0,2,0,0
99,0.042648529,0.399946674,28,0,0.189702574,4000,6,0,0,0,1
100,0.011787134,0,47,0,773,NA,2,0,1,0,1
101,0.024531654,0.360907571,72,0,0.356679286,3697,6,0,1,0,0
102,0.011516574,0.118853837,50,0,2720,NA,7,0,1,0,2
103,0.168437579,0.728218119,40,1,3878,NA,10,0,2,0,0
104,0.104409884,0.947264856,28,0,0.467171717,1187,4,0,0,0,0
105,0.012529984,0.013916922,54,0,0.017655818,4700,7,0,0,0,2
106,0.059932847,0.066347297,46,1,4480,NA,6,0,2,0,0
107,0.157617469,0.739146488,63,1,0.285156885,6150,12,0,0,0,1
108,0.013033434,0.267905614,76,0,0.285452994,8200,12,0,0,0,0
109,0.006517953,6.86E-04,83,0,0,NA,4,0,0,0,0
110,0.299102556,0.9999999,42,1,0.113421853,6250,3,3,0,1,2
111,0.008935457,0.134191514,63,0,926.5,1,9,0,1,0,0
112,0.012897372,0.026885902,36,0,0.344879921,11200,6,0,2,0,2
113,0.00907413,0.032769199,70,0,724,NA,11,0,1,0,0
114,0.021370812,0.03157211,39,0,0.644706486,3900,14,0,1,0,1
115,0.024537747,0.9999999,79,0,0.130140954,5178,6,0,1,0,0
116,0.013718997,0.073251754,51,0,0.446688128,10250,9,0,1,0,2
117,0.00838054,0.051077957,74,0,0.306409131,3416,9,0,1,0,0
118,0.008184346,0.008737352,68,0,0.209965006,6000,28,0,1,0,0
119,0.011891401,0.028910707,52,0,0.013543599,5389,7,0,0,0,2
120,0.041325547,0.50329934,55,0,0.454057468,3166,5,0,2,0,0
121,0.067888631,0.740635161,39,0,0.432010059,5566,7,0,1,0,0
122,0.016935861,0.201943642,46,0,0.394460554,10000,15,0,2,0,3
123,0.010478467,0.077958915,57,0,0.053530226,6500,19,0,0,0,0
124,0.013117448,0.205676486,57,0,0.130309575,8333,8,0,1,0,0
125,0.15174598,0.9999999,32,0,0.006731051,3416,1,0,0,0,3
126,0.05442553,0.073393457,38,1,0.384761524,10000,9,0,2,0,0
127,0.027529576,0.745173448,68,0,0.168767792,4917,4,0,1,0,0
128,0.033332188,0.354125994,57,0,0.558762411,4330,4,0,1,0,0
129,0.008655221,0.045017363,72,0,0.020763907,3900,8,0,0,0,0
130,0.031731615,0.35592819,48,0,0.478090767,7667,17,0,2,0,0
131,0.008873687,0.015054291,59,0,929,NA,11,0,1,0,2
132,0.016330547,0.047587303,34,0,997,NA,4,0,0,0,NA
133,0.033906779,0.401789055,55,0,0.412779302,2550,11,0,0,0,0
134,0.018416772,0.301152442,46,0,0.254661625,7668,10,0,1,0,3
135,0.2579746,0,27,2,0.229139073,2264,5,2,0,1,0
136,0.014205381,0.067512585,43,0,0.44723563,9115,4,0,2,0,0
137,0.114591439,0.993335555,31,0,0.068227425,4484,6,0,0,0,1
138,0.028804128,0.485558448,51,0,0.09963548,6583,5,0,0,0,0
139,0.033704705,0.183676155,33,0,0.660528423,2497,9,0,1,0,0
140,0.365960997,0.9999999,54,0,0.228402866,2372,2,0,0,1,0
141,0.00972849,0.052161271,49,0,0.067629397,6993,5,0,0,0,1
142,0.011328716,0.056390008,54,0,2126,NA,8,0,1,0,0
143,0.094788822,0.611388611,22,0,0.347066167,800,4,0,0,0,0
144,0.212557265,0.814154511,50,1,0.297139683,3600,8,0,1,1,1
145,0.178930634,0.551889862,42,1,0.790613718,3600,18,0,2,0,1
146,0.054798723,0.640058527,39,0,0.055984556,9841,9,0,0,0,2
147,0.016155768,0.040186458,35,0,0.300839136,5600,8,0,2,0,1
148,0.043919424,0.188256123,27,0,0.881825173,3900,6,0,1,0,1
149,0.665339297,1.245847176,24,1,499,NA,4,1,0,0,NA
150,0.011785053,0,86,0,2,NA,9,0,0,0,0
151,0.014017071,0.2128856,66,0,0.351891786,5100,10,0,1,0,0
152,0.021715842,0,27,0,0,4500,5,0,0,0,0
153,0.046152902,0.622524722,43,0,0.353883732,10234,8,0,1,0,0
154,0.05646079,0.732711215,29,0,0.338531127,8400,10,0,1,0,0
155,0.32115435,0.9999999,55,1,0.138721351,4144,1,0,0,0,0
156,0.043576296,0.503587987,63,0,1.308922769,4000,16,0,1,0,0
157,0.059321462,0.697812691,31,0,0.236980252,12000,10,0,0,0,1
158,0.0542499,0.768537191,46,0,2568,NA,5,0,0,0,0
159,0.017420523,0.155644438,56,0,0.336831584,2000,5,0,1,0,0
160,0.011425252,0,51,0,0.238076192,10000,6,0,1,0,0
161,0.033764946,0.517045364,61,0,0.572590321,7500,20,0,2,0,0
162,0.008408826,0.024100447,86,0,0.010791367,2223,6,0,0,0,0
163,0.016423914,0.008665511,58,0,1.908629442,6500,17,0,5,0,0
164,0.014537022,0.095634788,36,0,0.175266904,2247,4,0,0,0,1
165,0.047972497,0.732202177,44,0,0.258576628,12912,26,0,0,0,0
166,0.021776285,0.193612774,47,0,0.020146833,5856,1,0,0,0,3
167,0.007488997,0.014441183,75,0,0.145703611,16059,8,0,1,0,0
168,0.017468112,0.024305835,30,0,1581,NA,6,0,1,0,0
169,0.0099728,0.046740048,57,0,0.404799866,11916,13,0,3,0,0
170,0.010985236,0.057887851,56,0,0.238127698,4400,13,0,1,0,1
171,0.093197615,0.883182488,49,0,0.183736947,4500,18,0,0,0,2
172,0.011375759,0.063062463,54,0,4659,NA,5,0,2,0,0
173,0.028868464,0.402345742,37,0,0.337622356,12667,16,0,2,0,3
174,0.008406203,0.007712359,69,0,0.156614462,3000,6,0,0,0,0
175,0.015168914,0,36,0,0.370418677,7666,4,0,1,0,2
176,0.030056286,0.149314411,36,0,0.558320373,4500,9,0,3,0,0
177,0.168791007,0.321457844,46,2,1434,NA,6,0,1,1,0
178,0.122703683,0.914867126,40,0,0.517037339,4900,7,0,1,0,1
179,0.017807571,0.12136536,34,0,3300,NA,5,0,2,0,0
180,0.009989603,0.030513202,68,0,48,NA,6,0,0,0,0
181,0.01917732,0.175434349,47,0,0.149077983,4500,9,0,0,0,0
182,0.008792694,0.008287427,55,0,0.115171335,7032,8,0,1,0,0
183,0.016222693,0.058687793,35,0,0.335733141,8333,6,0,2,0,2
184,0.047554368,0.359412083,54,0,3.874422899,1082,22,0,1,0,0
185,0.011516574,0.07953842,53,0,2958,NA,9,0,1,0,2
186,0.148026545,2066,58,0,0.27112148,6000,8,1,1,0,1
187,0.079206706,0.9999999,56,0,0.00711943,12500,2,0,0,0,2
188,0.023246905,0.160899231,33,0,0.182363527,3333,13,0,0,0,0
189,0.028543471,0.245744673,46,0,0.585122242,6707,21,0,1,0,3
190,0.074405234,0.049082484,63,2,0.361938937,16441,12,0,1,0,1
191,0.013633242,0.013574112,60,0,0.711075819,17000,11,0,3,0,0
192,0.051358382,0.060867801,50,1,3074,NA,15,0,1,0,0
193,0.01384836,0.141853991,79,0,0.812870978,3200,8,0,2,0,0
194,0.012174599,0.073191767,54,0,0.020708083,4490,4,0,0,0,0
195,0.00888811,0.087182563,74,0,0.080495356,1291,6,0,0,0,0
196,0.009538349,0,63,0,0.052672049,2600,3,0,0,0,1
197,0.07513235,0.249922521,63,2,0.254313231,19416,18,0,2,0,1
198,0.011406408,0,55,0,0.369192131,7166,7,0,3,0,1
199,0.008140451,0.066285085,58,0,0.228999349,9213,7,0,1,0,0
200,0.014451729,0.025711593,55,0,0.540702656,3500,8,0,1,0,2
201,0.177692012,0.901509849,33,1,0.128132981,23100,8,1,1,0,0
202,0.01053959,0.077358439,44,0,0.324267573,10000,10,0,2,0,0
203,0.027297148,0,32,0,0.44187375,3500,5,0,1,0,2
204,0.012126636,0.072377744,48,0,0.399050079,12000,9,0,2,0,0
205,0.014317874,0.015293506,50,0,0.372513562,1105,13,0,0,0,0
206,0.015267506,0.211859605,55,0,0.128716003,6323,8,0,0,0,1
207,0.206341934,0.917428326,66,1,2410,NA,7,1,2,0,0
208,0.063698486,0.716283716,46,0,0.26775232,5280,10,0,2,0,2
209,0.008682271,5.49E-04,59,0,0,2236,4,0,0,0,0
210,0.113921228,0.982477859,36,0,0.508163945,3000,3,0,1,0,0
211,0.02076069,0.014646523,26,0,0.121568627,1274,7,0,0,0,0
212,0.077276131,0.537596973,68,0,1591,NA,8,0,1,0,NA
213,0.508423044,1.25748503,26,0,0.129805014,1794,1,2,0,1,0
214,0.024292301,0.002965614,29,0,0.515939338,3230,8,0,1,0,0
215,0.022834432,0.160226787,31,0,0.356018715,2350,5,0,0,0,0
216,0.022753584,0,45,0,0.735816454,10416,11,0,4,0,1
217,0.008372099,0.013218661,57,0,0.085321957,7500,10,0,1,0,0
218,0.306301254,0.682708972,41,4,0.38708711,13350,8,0,4,0,1
219,0.007219714,0.013375668,82,0,0.002606106,8057,7,0,0,0,0
220,0.172855736,0.158100266,45,2,0.475322703,3950,19,0,1,0,1
221,0.025670159,0,31,0,0.432783608,2000,9,0,1,0,0
222,0.13334004,0.335445712,40,0,0.344679838,4200,6,0,2,1,0
223,0.019433272,0,28,0,852,NA,3,0,0,0,NA
224,0.01078204,0.107720423,47,0,0.216280839,9200,12,0,3,0,2
225,0.170324971,0.835311508,31,1,0.332527053,7854,9,0,1,0,0
226,0.055940724,0.5112397,58,0,0.963084409,9453,13,0,3,0,1
227,0.317560216,0.71976008,47,0,64,NA,2,2,0,0,0
228,0.008693743,0.003888457,74,0,4,NA,3,0,0,0,0
229,0.007488997,0.009654537,73,0,0.122830656,18553,6,0,1,0,1
230,0.04453157,0.778719498,81,0,0.53801306,4287,11,0,2,0,0
231,0.015510104,0.119460647,34,0,0.32224953,6916,5,0,1,0,0
232,0.103705238,0.607205622,63,0,4627,NA,15,0,1,0,0
233,0.008281517,0.128419662,59,0,0.226433961,11000,10,0,1,0,0
234,0.064972681,0.738420926,72,0,2367,NA,11,0,1,0,0
235,0.029737095,0.222472191,30,0,0.589815683,3200,4,0,1,0,0
236,0.008406203,0.003986049,81,0,0.207164676,3600,10,0,1,0,0
237,0.01167596,0.15189171,59,0,0.301074556,15075,13,0,2,0,0
238,0.242853913,0.606025418,39,3,0.375647341,7916,10,0,2,0,2
239,0.011328716,0.061833522,49,0,2788,NA,6,0,2,0,0
240,0.010963924,0.165720783,68,0,0.311916978,8575,10,0,1,0,0
241,0.067462071,0.3882572,45,0,1.112942122,4975,13,0,4,0,1
242,0.008504545,0.013767118,64,0,2004,NA,10,0,2,0,0
243,0.012492771,0.187797808,85,0,790,NA,6,0,0,0,0
244,0.011954459,0.037379559,37,0,0.333851794,9000,11,0,2,0,0
245,0.031762864,0.106475741,32,0,0.802308265,2685,5,0,1,0,1
246,0.024635666,0.518186405,73,0,0.504887091,8900,17,0,1,0,1
247,0.069237178,0.707145775,64,0,3930,NA,13,0,2,0,0
248,0.018270482,0.288592785,51,0,0.226213976,10131,4,0,2,0,3
249,0.110284646,0.17545213,55,2,0.27018019,9600,11,0,2,0,0
250,0.064332244,0.514353049,39,0,0.984408835,2308,15,0,1,0,1
251,0.011538124,0.163750645,65,0,0.266873313,10000,13,0,1,0,0
252,0.084312327,0.9999999,47,0,0.370691923,3800,6,0,0,0,1
253,0.012404435,0.03452873,55,0,0.514162132,7166,7,0,2,0,1
254,0.054913181,0,80,1,1589,NA,8,0,1,0,0
255,0.02220329,0.001882242,50,0,1.317473011,2500,9,0,2,0,1
256,0.030781395,0.630901661,73,0,0.047400612,4577,3,0,0,0,0
257,0.012239513,0,50,0,0,6400,2,0,0,0,0
258,0.112579017,0.833594158,44,0,178,NA,9,0,0,0,0
259,0.020834244,0.205655719,36,0,2082,NA,13,0,2,0,0
260,0.017185516,0.319378527,59,0,0.156959213,6300,22,0,0,0,0
261,0.011824779,0.110327321,52,0,0.313439924,6316,16,0,2,0,1
262,0.069435738,0.352989385,59,1,0.43955635,13433,18,0,2,0,2
263,0.044779047,0.666948696,56,0,0.185055253,5700,7,0,0,0,0
264,0.07914845,0.863213679,29,0,0.102670277,18836,4,0,1,0,2
265,0.012239513,0,50,0,0,6250,4,0,0,0,0
266,0.096220312,0.9999999,42,0,0.217236784,2250,1,0,0,0,2
267,0.058598003,0.408690635,46,0,1.055195584,4166,12,0,2,0,0
268,0.123579376,0.017558727,47,0,0.53540175,2513,10,1,1,0,0
269,0.011972823,0.039609476,50,0,1132,NA,13,0,0,0,0
270,0.016620577,0.284499685,66,0,1408,NA,8,0,0,0,1
271,0.017349754,0.068038735,55,0,2.496503497,1000,6,0,1,0,2
272,0.027862366,0.258812185,35,0,3947,NA,4,0,1,0,0
273,0.008298775,0.034384238,84,0,51,NA,10,0,0,0,0
274,0.010586773,0.022135842,48,0,0.003547815,6200,2,0,0,0,1
275,0.009576966,0.030761368,62,0,0.015661446,3000,5,0,1,0,0
276,0.012987432,0,45,0,0.365016502,7574,10,0,2,0,1
277,0.055802126,0.788340389,43,0,0.099845092,7100,3,0,0,0,1
278,0.012824908,0,43,0,0.281729338,15450,10,0,2,0,5
279,0.012788093,0.148225606,63,0,1313,NA,11,0,2,0,0
280,0.035768664,0.68028326,80,0,0.42985336,4568,6,0,1,0,0
281,0.012206037,0.211367652,60,0,0.24045329,10500,19,0,2,0,0
282,0.021057317,0.247135843,34,0,0.090524087,5666,3,0,0,0,1
283,0.023265327,0.9999999,66,0,0.229471417,11142,6,0,1,0,0
284,0.01284764,0.096113878,41,0,0.224395714,8025,10,0,0,0,4
285,0.03161468,0.960431398,63,0,0.31506036,5052,3,0,1,0,1
286,0.010555445,0.123471362,63,0,0.364188164,2635,6,0,1,0,1
287,0.070719994,0.9999999,37,0,0.377631696,11256,11,0,2,0,1
288,0.008733836,0.007999878,65,0,15,NA,13,0,0,0,0
289,0.016008848,0.099190841,57,0,0.604398743,3500,9,0,2,0,0
290,0.043037109,0.9999999,70,0,0,NA,1,0,0,0,NA
291,0.030512131,0.428382755,36,0,0.2706115,6573,12,0,1,0,0
292,0.01083082,0,48,0,0.05692407,10838,4,0,0,0,1
293,0.008406203,0.010751197,76,0,0.117910841,3790,17,0,0,0,0
294,0.279476802,0.901795412,47,1,0.52674524,3308,6,0,1,0,3
295,0.009458902,0,70,0,0.252527295,4945,9,0,1,0,0
296,0.008139359,0.007353556,80,0,0.29991431,3500,16,0,0,0,1
297,0.024096703,0.003157687,32,0,1,NA,1,0,0,0,0
298,0.253877024,0.926059916,48,1,12546,NA,8,0,4,0,0
299,0.011072889,0.023237542,58,0,0.812428571,6999,19,0,3,0,1
300,0.008281517,0.120355791,59,0,0.151986183,11000,10,0,2,0,0
301,0.026285031,0.321934593,44,0,1383,NA,7,0,2,0,1
302,0.367263826,0.902797114,45,3,2788,NA,8,2,1,2,0
303,0.015753697,0.099482078,44,0,0.431368631,5004,7,0,1,0,3
304,0.064722963,0.537344212,57,0,0.627822789,5800,19,0,1,0,0
305,0.009949993,0.002776037,55,0,0.37584925,7800,11,0,2,0,1
306,0.031529972,0.9999999,82,0,0,1400,0,0,0,0,0
307,0.034719669,0.809765043,64,0,0.476433476,10777,11,0,1,0,0
308,0.011941416,0.058309113,70,0,0.723310676,2500,12,0,2,0,0
309,0.047579133,0.544761241,58,0,0.592103062,5976,13,0,2,0,1
310,0.012035068,0,43,0,0,NA,2,0,0,0,0
311,0.010878086,0.027130865,43,0,0.256738293,8050,6,0,1,0,1
312,0.082834442,0.030586236,36,1,0.310935893,2916,5,0,0,0,2
313,0.047438973,0.9999999,59,0,0.020359935,5500,1,0,0,0,1
314,0.010244895,0.028200734,56,0,0.084599116,5200,10,0,1,0,0
315,0.014064525,0,53,0,0,3000,2,0,0,0,1
316,0.006692221,0.047286367,69,0,0.012931609,7500,5,0,0,0,0
317,0.015769396,0.058416154,29,0,0.299711296,5541,10,0,0,0,0
318,0.017610172,0.062081558,28,0,0.012387188,5650,6,0,0,0,0
319,0.068979645,0.065421016,56,1,0.238432226,1836,9,0,0,0,0
320,0.031075363,0.361682297,41,0,0.19675058,5600,9,0,0,0,2
321,0.253986168,0.811623025,33,1,0.439755691,1800,8,0,0,0,4
322,0.008034987,0.002124734,73,0,3256,NA,9,0,1,0,NA
323,0.007906125,0.007749806,60,0,0.220213749,7578,8,0,1,0,0
324,0.013368216,0.037273952,63,0,0.953488372,1805,8,0,1,0,0
325,0.00871781,0.06781117,71,0,0.332303218,5500,19,0,2,0,1
326,0.38371414,0.887080965,45,0,0.482275525,4710,4,0,1,1,2
327,0.056060121,0.004195682,45,1,0.478190226,8000,12,0,2,0,1
328,0.273562331,0.767840152,74,3,0.2964495,2900,4,1,0,1,0
329,0.315449147,0.965034965,35,0,0.062791628,7500,2,0,1,1,2
330,0.099709531,0.9999999,41,0,0.007664112,3000,0,0,0,0,0
331,0.012810264,0,68,0,0.634674923,1614,9,0,1,0,1
332,0.053069469,0.018856544,35,1,0.234095738,8000,11,0,0,0,0
333,0.010004525,0.024688074,45,0,0.199100928,6895,12,0,1,0,0
334,0.266691367,0.796278584,44,0,2518,NA,6,5,1,2,4
335,0.095840321,0.9999999,30,0,0.015108425,5625,2,0,0,0,1
336,0.011715836,0.176443529,67,0,0.182522829,9417,15,0,2,0,0
337,0.020648662,0,42,0,0.483205749,6400,3,0,1,0,4
338,0.008406203,0.012739234,70,0,0.008663779,3000,6,0,0,0,0
339,0.008147394,0.007868766,63,0,1448,NA,6,0,1,0,0
340,0.075616457,0.987501953,52,0,3844,NA,12,0,2,0,0
341,0.398827202,0.714456939,49,2,1.60215311,4179,15,0,3,0,3
342,0.008359513,0.021614553,67,0,2290,NA,8,0,1,0,1
343,0.011969026,0.073037127,49,0,0.249922094,6417,8,0,2,0,0
344,0.04578961,0.575314156,59,0,0.653881071,4405,6,0,1,0,0
345,0.019459278,0.288425263,77,0,0.533965245,2531,8,0,1,0,0
346,0.060463756,0.160060865,41,1,0.370769853,7416,8,1,1,0,1
347,0.007219714,0.032008214,73,0,0.226599205,8300,11,0,2,0,0
348,0.006574731,0.002983261,80,0,1.28E-04,7789,2,0,0,0,0
349,0.064549692,0.617025827,26,0,0.160912815,3417,5,0,0,0,0
350,0.010889222,0.173948934,68,0,3015,NA,7,0,2,0,0
351,0.008332637,0.036934189,56,0,0.287934952,8362,8,0,1,0,2
352,0.057731178,0.644710579,27,0,0.087017653,6400,7,0,0,0,0
353,0.024642822,0,43,0,3278,0,7,0,3,0,0
354,0.020457784,0.111327624,32,0,0.37043826,6000,11,0,1,0,1
355,0.007296582,0.099145861,72,0,2430,NA,23,0,2,0,1
356,0.019327739,0.074231442,25,0,0.155248456,3400,4,0,0,0,0
357,0.017305789,0.161644287,52,0,0.134433192,6121,8,0,0,0,0
358,0.007589496,0.081353789,59,0,0.028554343,60200,13,0,1,0,1
359,0.229213748,0.878880524,61,1,0.950642674,3889,19,0,1,0,1
360,0.092852746,0.892003484,60,0,3955,NA,12,0,2,0,0
361,0.129377635,0.635388319,44,1,0.429330591,11666,19,0,2,0,4
362,0.010228479,0,61,0,0.248972297,5594,7,0,2,0,0
363,0.008406203,0.029542412,82,0,0.018150601,4076,8,0,0,0,0
364,0.008124106,0.10835629,63,0,0.005165806,6000,3,0,0,0,0
365,0.007219714,0.017028691,72,0,0.068935962,8166,22,0,0,0,0
366,0.098037528,0.9999999,34,0,0.196640721,2440,2,0,0,0,5
367,0.08072333,0.9999999,52,0,0.001938402,4642,2,0,0,0,0
368,0.007575936,0.055606878,65,0,2965,NA,5,0,1,0,1
369,0.023738621,0.380440179,58,0,0.321542384,6275,9,0,1,0,0
370,0.012362976,0,43,0,2022,NA,3,0,1,0,1
371,0.083145255,0,48,1,0.143671858,4558,8,0,0,0,0
372,0.049448401,0.286564178,53,0,1.333712265,7916,17,0,7,0,0
373,0.083796977,0.18805926,55,1,0.542411134,5316,19,0,1,0,2
374,0.05000315,0.523570467,40,0,0.152938343,8303,7,0,1,0,2
375,0.010175004,0.027789211,52,0,0.226816225,7666,7,0,2,0,2
376,0.074196925,0.673189544,35,0,0.424098921,3800,5,0,1,0,0
377,0.008862894,0.038953135,62,0,3024,NA,7,0,2,0,0
378,0.118014938,0.702381432,54,0,0.866732547,14166,21,0,6,0,3
379,0.067869106,0.685583993,41,0,0.450440529,10895,13,0,5,0,1
380,0.011460636,0.019999721,48,0,0.090381924,5000,11,0,1,0,0
381,0.151345907,0.9999999,51,0,1.123247319,8486,11,0,9,0,1
